loss,val_loss,learning_rate
0.2906768321990967,0.21484149992465973,9.999999747378752e-05
0.272817462682724,0.21262119710445404,9.999999747378752e-05
0.2585254907608032,0.20934875309467316,9.999999747378752e-05
0.24362200498580933,0.20529262721538544,9.999999747378752e-05
0.2330966293811798,0.20063170790672302,9.999999747378752e-05
0.2231420874595642,0.1955130696296692,9.999999747378752e-05
0.21662040054798126,0.1900598257780075,9.999999747378752e-05
0.20876875519752502,0.18440470099449158,9.999999747378752e-05
0.2020212858915329,0.1787538230419159,9.999999747378752e-05
0.1943162977695465,0.17310377955436707,9.999999747378752e-05
0.1873098611831665,0.1675540655851364,9.999999747378752e-05
0.18162018060684204,0.16209661960601807,9.999999747378752e-05
0.17293274402618408,0.15672187507152557,9.999999747378752e-05
0.16725975275039673,0.15149953961372375,9.999999747378752e-05
0.15967702865600586,0.14638498425483704,9.999999747378752e-05
0.15406492352485657,0.14125220477581024,9.999999747378752e-05
0.1466791331768036,0.13610754907131195,9.999999747378752e-05
0.14233559370040894,0.1309933066368103,9.999999747378752e-05
0.13500580191612244,0.12594997882843018,9.999999747378752e-05
0.13179519772529602,0.12104504555463791,9.999999747378752e-05
0.1246008425951004,0.11610144376754761,9.999999747378752e-05
0.1211709976196289,0.11122314631938934,9.999999747378752e-05
0.11653903126716614,0.10657280683517456,9.999999747378752e-05
0.11228828132152557,0.10208432376384735,9.999999747378752e-05
0.10887886583805084,0.09788664430379868,9.999999747378752e-05
0.10349701344966888,0.09380725026130676,9.999999747378752e-05
0.09804980456829071,0.08996329456567764,9.999999747378752e-05
0.09848801046609879,0.0863463431596756,9.999999747378752e-05
0.09260198473930359,0.08284608274698257,9.999999747378752e-05
0.08963431417942047,0.07955852150917053,9.999999747378752e-05
